lv: transpose(matrix(
[   5,1.359,1],
[   5,1.452,1],
[   5,1.472,1],
[   5,1.514,1],
[   5, 1.58,1],
[   5,1.755,1],
[   5,1.776,1],
[   5,1.808,1],
[   5,1.819,1],
[   5,1.858,1],
[   5, 1.93,1],
[   5,1.971,1],
[   5,2.017,1],
[   5,2.115,1],
[   6,1.338,1],
[   6,1.348,1],
[   6,1.423,1],
[   6,1.427,1],
[   6,1.431,1],
[   6,1.527,1],
[   6,1.536,1],
[   6,1.572,1],
[   6,1.624,1],
[   6,1.634,1],
[   6, 1.65,1],
[   6,1.666,1],
[   6,1.691,1],
[   6,1.699,1],
[   6,1.713,1],
[   6,1.715,1],
[   6,1.718,1],
[   6,1.747,1],
[   6,1.826,1],
[   6,1.979,1],
[   6,2.104,1],
[   6,2.262,1],
[   7,1.165,1],
[   7,1.253,1],
[   7,1.611,1],
[   7,1.612,1],
[   7,1.624,1],
[   7,1.649,1],
[   7,1.658,1],
[   7,1.682,1],
[   7,1.789,1],
[   7, 1.79,1],
[   7,1.796,1],
[   7,1.826,1],
[   7,1.905,1],
[   7, 1.92,1],
[   7,1.932,1],
[   7,2.046,1],
[   7,2.056,1],
[   7,2.084,1],
[   7,2.135,1],
[   7,2.158,1],
[   7,2.219,1],
[   7, 2.22,1],
[   7,2.535,1],
[   7, 2.55,1],
[   7,2.578,1],
[   8, 1.429,1],
[   8, 1.523,1],
[   8, 1.547,1],
[   8, 1.562,1],
[   8, 1.624,1],
[   8, 1.657,1],
[   8, 1.675,1],
[   8, 1.703,1],
[   8, 1.735,1],
[   8, 1.744,1],
[   8, 1.759,1],
[   8, 1.794,1],
[   8, 1.897,1],
[   8,  1.94,1],
[   8, 1.962,1],
[   8, 1.991,1],
[   8, 2.004,1],
[   8,  2.01,1],
[   8, 2.016,1],
[   8, 2.069,1],
[   8, 2.071,1],
[   8,  2.09,1],
[   8, 2.094,1],
[   8, 2.118,1],
[   8, 2.123,1],
[   8, 2.211,1],
[   8, 2.226,1],
[   8, 2.258,1],
[   8, 2.303,1],
[   8, 2.354,1],
[   8,  2.42,1],
[   8, 2.435,1],
[   8,   2.5,1],
[   8, 2.503,1],
[   8, 2.631,1],
[   8, 2.631,1],
[   8, 2.681,1],
[   8, 2.732,1],
[   8, 2.927,1],
[   9, 1.558,1],
[   9, 1.716,1],
[   9, 1.751,1],
[   9, 1.773,1],
[   9, 1.855,1],
[   9, 1.869,1],
[   9, 1.895,1],
[   9, 2.042,1],
[   9, 2.069,1],
[   9, 2.076,1],
[   9,  2.09,1],
[   9, 2.119,1],
[   9, 2.126,1],
[   9, 2.135,1],
[   9, 2.164,1],
[   9, 2.165,1],
[   9, 2.196,1],
[   9,  2.23,1],
[   9, 2.246,1],
[   9, 2.301,1],
[   9, 2.348,1],
[   9, 2.352,1],
[   9,  2.42,1],
[   9, 2.457,1],
[   9, 2.457,1],
[   9,  2.46,1],
[   9,  2.57,1],
[   9, 2.571,1],
[   9, 2.588,1],
[   9, 2.604,1],
[   9,  2.65,1],
[   9, 2.659,1],
[   9, 2.715,1],
[   9, 2.717,1],
[   9, 2.725,1],
[   9, 2.798,1],
[   9, 2.803,1],
[   9, 2.833,1],
[   9, 2.871,1],
[   9, 2.893,1],
[   9, 2.923,1],
[   9, 2.964,1],
[   9, 2.973,1],
[   9,     3,1],
[   9, 3.114,1],
[   9, 3.239,1],
[   9, 3.556,1],
[   9, 3.681,1],
[   9, 3.842,1],
[  10, 1.665,1],
[  10, 1.811,1],
[  10, 1.858,1],
[  10, 1.858,1],
[  10, 1.873,1],
[  10, 1.937,1],
[  10, 2.094,1],
[  10,   2.1,1],
[  10, 2.132,1],
[  10, 2.201,1],
[  10, 2.216,1],
[  10, 2.246,1],
[  10, 2.292,1],
[  10, 2.328,1],
[  10, 2.341,1],
[  10, 2.352,1],
[  10, 2.364,1],
[  10, 2.391,1],
[  10, 2.481,1],
[  10, 2.545,1],
[  10, 2.561,1],
[  10, 2.581,1],
[  10, 2.592,1],
[  10, 2.608,1],
[  10, 2.646,1],
[  10, 2.696,1],
[  10,  2.72,1],
[  10, 2.758,1],
[  10,  2.77,1],
[  10, 2.855,1],
[  10, 2.901,1],
[  10, 3.007,1],
[  10,  3.09,1],
[  10,  3.11,1],
[  10, 3.111,1],
[  10, 3.127,1],
[  10,   3.2,1],
[  10, 3.203,1],
[  10, 3.251,1],
[  10, 3.329,1],
[  10,  3.35,1],
[  10, 3.354,1],
[  10, 3.456,1],
[  10, 3.489,1],
[  10, 3.795,1],
[  10, 4.591,1]));
